下列哪个选项是全国⼈⼤制定的教育类基本法  	['A. 《教师法》 ', 'B. 《教育法》 ', 'C. 《⾼等教育法》 ']	正确答案：B 	解释说明：《教育法》是全国⼈⼤制定的教育类基本法。（⻅书P137） 
⾼等教育学位制度创始于  	['A. 1980年2⽉12⽇ ', 'B. 1984年3⽉21⽇ ', 'C. 1984年2⽉12⽇ ', 'D. 1980年3⽉21⽇ ']	正确答案：A 	解释说明：⻅第41⻚。 
⾼等教育是⼈类的⼀种社会活动，在阶级社会⾥⾼等教育具有鲜明的  	['A. 客观性 ', 'B. 稳定性 ', 'C. 历史性 ', 'D. 阶级性 ']	正确答案：D 	解释说明：请仔细阅读教材第三章 
下列不是⾼等教育制度的特性的是  	['A. 客观性 ', 'B. 稳定性 ', 'C. 永久性 ', 'D. 强制性 ']	正确答案：C 	解释说明：请仔细阅读教材第三章 
由于政治、经济和⽂化的影响，中世纪产⽣的⼤学具有鲜明的特点。下列不属于中世纪⼤学特点的是  	['A. 宗教性 ', 'B. 科学性 ', 'C. 世俗性 ', 'D. ⾃治性 ']	正确答案：B 	解释说明：请仔细阅读教材第⼆章 
全⾯推进依法治校的指导思想和总体要求是在下列哪个⽂件中提出的  	['A. 《教育部关于加强依法治校⼯作的若⼲意⻅》 ', 'B. 《国家中⻓期教育改⾰和发展规划纲要（2010-2020年）》 ', 'C. 《全⾯推进依法治校实施纲要》 ', 'D. 《教育部关于加强教育法制建设的意⻅》 ']	正确答案：C 	解释说明：⻅第9⻚。 
供给⾼校课程活动、满⾜⾼校课程活动需要的⼀切，包括构成⾼校课程⽬标、课程内容的来源和保障课程活动的设备和材料指的是⾼等学校的  	['A. 教学资源 ', 'B. 课程资源 ', 'C. 教材 ', 'D. 教科书 ']	正确答案：B 	解释说明：请仔细阅读教材第五章 
1809年,威廉·冯·洪堡开始担任普鲁⼠教育⼤⾂，在他的领导下，德国⼤⼑阔斧地进⾏了⾼等教育改⾰，他的改⾰理念后被称为“洪堡理念”。下列不属于“洪堡理念”内容的是  	['A. 将科学研究作为主要职称 ', 'B. 教学与研究相统⼀ ', 'C. 提倡学术⾃由 ', 'D. 提倡宗教信仰 ']	正确答案：D 	解释说明：请仔细阅读教材第⼆章 
完善了⾼等教育法治建设，先后制定了《⾼等教育法》和《⾼等教育基本法》两部法律后，⾼等教育⾛上（）、（）的发展之路  	['A. 制度化，法制化 ', 'B. 法治化，规范化 ', 'C. 法制化，规范化 ', 'D. 制度化，法治化 ']	正确答案：D 	解释说明：⻅第32⻚。 
预防教育的形式多样，（）是指辅导员通过设⽴⽬标、制造正确舆论、宣传先进典型等⽅式，委婉含蓄地对⼤学⽣施加影响，使⼤学⽣潜移默化地受到教育，⾃觉规范⾃⼰的思想和⾏为的⽅法。  	['A. 明示法 ', 'B. 启迪法 ', 'C. 暗示法 ', 'D. 直接法 ']	正确答案：C 	解释说明：请仔细阅读教材第⼗章 
1950年颁布《⾼等学校暂⾏规定》，对学⽣进⾏⾰命的思想政治教育成为⾼等学校的  	['A. 根本任务 ', 'B. ⾸要任务 ', 'C. 引领指南 ', 'D. 发展⽅向 ']	正确答案：B 	解释说明：请仔细阅读教材第⼗章 
（ ）与科研⽔平是保持学校声望和地位的最核⼼元素，优秀的教师不仅能够吸引优秀的学⽣，教学相⻓、⽽且能够做出杰出的研究⼯作，取得重要的研究成果。  	['A. 教学质量 ', 'B. 研究⽔平 ', 'C. 个⼈素养 ', 'D. 师资⼒量 ']	正确答案：A 	解释说明：请仔细阅读教材第⼋章 
下列不属于国外⾼等教育对我国的启示的是  	['A. 经费投⼊国有化 ', 'B. 加强⽴法，保障师⽣合法权益 ', 'C. 机会平等与差别对待相结合 ', 'D. 经费投⼊法制化 ']	正确答案：A 	解释说明：⻅第28-29⻚。 
科学研究的评价不包括下列哪⼀项  	['A. 科研项⽬评价 ', 'B. 科研成果评价 ', 'C. 科研⼈员评价 ', 'D. 科研氛围评价 ']	正确答案：D 	解释说明：请仔细阅读教材第⼋章 
我国在1904年颁布的《奏定学堂章程》，确定了我国近代⾼等教育体系，将⾼等教育分为了三级。下列不属于《奏定学堂章程》所设置的⾼等教育三级体系的是  	['A. ⾼等学堂 ', 'B. 分科⼤学 ', 'C. 通儒院 ', 'D. 专⻔学院 ']	正确答案：D 	解释说明：请仔细阅读教材第⼆章 
学位评定委员会主席的任期为  	['A. ⼀⾄三年 ', 'B. ⼆⾄四年 ', 'C. ⼀⾄⼆年 ', 'D. ⼆⾄三年 ']	正确答案：D 	解释说明：⻅第45⻚。 
⾼校教师既要重视基础知识的教学，更要重视基本能⼒的培养，注意教学内容和教学⽅法的选择与运⽤。这体现⾼校教师什么教学原则  	['A. 科学性与思想性相结合的原则 ', 'B. 知识传授与能⼒发展相结合的原则 ', 'C. 循序渐进原则 ', 'D. 因材施教原则 ']	正确答案：B 	解释说明：请仔细阅读教材第六章 
（）主要表现在校舍和道路建设、图书馆和仪器设备建设、校园⼈⽂景点和校史陈列室的建设等⽅⾯。  	['A. 校园美化 ', 'B. 校园绿化 ', 'C. 校园净化 ', 'D. 校园优化 ']	正确答案：A 	解释说明：请仔细阅读教材第九章 
我国学位按照学科与⻔类进⾏授予，包括（）个学科⻔类，（）个⼀级学科  	['A. 13，130 ', 'B. 11，130 ', 'C. 13，110 ', 'D. 11，110 ']	正确答案：C 	解释说明：⻅第42⻚。 
为了保证教学达到预期的⽬的⽽在教学的全过程中，将教学活动本身作为思考和研究的对象，不断对教学过程进⾏积极主动的计划、检查、评价、反馈、控制和调节的能⼒是  	['A. 教学监控能⼒ ', 'B. 教育指导能⼒ ', 'C. 教育机智 ', 'D. 组织管理能⼒ ']	正确答案：A 	解释说明：请仔细阅读教材第四章 
最⼴泛的教育法律关系主体：  	['A. 教师 ', 'B. 学⽣ ', 'C. 学校 ']	正确答案：B 	解释说明：学⽣是最⼴泛的教育法律关系主体。（⻅书P123） 
借鉴前苏联的经验，我国⾼等学校基本学术组织结构普遍采⽤“校系——教研室”的层级结构。在此结构中，教研室主要职责是  	['A. 科学研究 ', 'B. 教务管理 ', 'C. 教学研究 ', 'D. 对外合作 ']	正确答案：C 	解释说明：请仔细阅读教材第三章 
⾼等教育⾏政复议是依申请的⾏政⾏为，具有（）性的特点。  	['A. 单⽅性 ', 'B. 双⽅性 ', 'C. 被动性 ']	正确答案：A 	解释说明：⾏政⾏为⼤多都是单⽅性⾏政⾏为。（⻅书P145） 
教师根据具体学习情境、学习任务难度等情况，在学习指导的选择和使⽤上发⽣变化。这体现的是教师指导学⽣学习技能的原则是  	['A. 程序性与以艺术性结合的原则 ', 'B. 主动性原则 ', 'C. 针对性和调控性原则 ', 'D. 动态迁移性原则 ']	正确答案：D 	解释说明：请仔细阅读教材第七章 
法律法规针对⾼校的专⻔条件是  	['A. ⼀般条件 ', 'B. 特别条件 ', 'C. 特殊条件 ']	正确答案：B 	解释说明：⻅书第78⻚。 
针对我国科技、经济社会发展中的重⼤科技问题，组织跨学科、跨单位、跨部⻔联合定向研究的课题类型是  	['A. 重点项⽬ ', 'B. ⾯上项⽬ ', 'C. 重⼤项⽬ ', 'D. 实践项⽬ ']	正确答案：C 	解释说明：请仔细阅读教材第⼋章 
被称为⼤学的“宪章”的是  	['A. ⾼等学校制度 ', 'B. ⾼等学校发展⽬标 ', 'C. ⾼等学校章程 ', 'D. ⾼等学校学位制度 ']	正确答案：C 	解释说明：请仔细阅读教材第三章 
⾼等教育⾏政管理⾏为分为⼏⼤类  	['A. 4类 ', 'B. 5类 ', 'C. 6类 ', 'D. 7类 ']	正确答案：D 	解释说明：⻅第68-69⻚。 
在⾼校课堂教学中，教师通过评价学⽣学习情况来调节教学进度与安排。这种评价⽅式是  	['A. 诊断性评价 ', 'B. 形成性评价 ', 'C. 过程性评价 ', 'D. 结果性评价 ']	正确答案：B 	解释说明：请仔细阅读教材第六章 
（）是⼀种历史现象，并伴随着社会物质的发展⽽发展，它具有历史属性。  	['A. 哲学 ', 'B. 科学 ', 'C. 教育 ', 'D. ⽂化 ']	正确答案：D 	解释说明：请仔细阅读教材第九章 
⾼等教育⾏政管理主体必须符合（）规定的⾏政性法律规范范围内⾏使权⼒  	['A. 《教育法》 ', 'B. 《⽴法法》 ', 'C. 《⾼等教育法》 ']	正确答案：B 	解释说明：⻅第66⻚。 
中央集权⾼等教育⾏政管理体制中，国家⾼等教育管理机构注重管理的（）  	['A. ⾼效性 ', 'B. ⾃主性 ', 'C. 全⾯性 ', 'D. 公平性 ']	正确答案：A 	解释说明：⻅第55⻚。 
1912年，蔡元培在（ ）中确⽴了⼤学“教授⾼深学问”的宗旨，提出了⽂理并重、教授治校的思想。  	['A. 《新⻘年》 ', 'B. 《学制》 ', 'C. 《变⾰》 ', 'D. 《⼤学令》 ']	正确答案：D 	解释说明：请仔细阅读教材第九章 
作为⾼等教育过程中⼀个不可忽视的因素，使教育影响发⽣作⽤的组织保证的是  	['A. 教学监控 ', 'B. 教育指导 ', 'C. 组织管理 ', 'D. 教育机智 ']	正确答案：C 	解释说明：请仔细阅读教材第四章 
下列不属于我国⾼等⾏政复议机关模式的是：  	['A. 申请⼈选择⾏政复议 ', 'B. 垂直领导⾏政复议 ', 'C. 被申请⼈选择⾏政复议 ', 'D. 上级⼈⺠政府复议 ']	正确答案：C 	解释说明：⻅书P148。 
知识传授和⼈才培养的重要主体是（）。  	['A. 学校 ', 'B. 教师 ', 'C. 补课机构 ', 'D. 政府 ']	正确答案：B 	解释说明：教师是知识传授和⼈才培养的重要主体。（⻅书P94） 
加快科技成果转化的速度和效率是推动⾼等学校服务于社会的重要途径。下列不属于⾼等学校科技成果转化的有效途径时  	['A. 产学研合作 ', 'B. 出版专著 ', 'C. 专利转化 ', 'D. ⾼等学校科技园 ']	正确答案：B 	解释说明：请仔细阅读教材第⼋章 
社会主义法治的本质要求是什么  	['A. 党的领导 ', 'B. 服务⼤局 ', 'C. 执政为⺠ ', 'D. 依法治国 ', 'E. 执法为⺠ ']	正确答案：E 	解释说明：⻅第8⻚。 
哪⼀年的全国教育⼯作会议确⽴了新时期教育政策法制⼯作的两⼤主题  	['A. 2010年 ', 'B. 2011年 ', 'C. 2012年 ']	正确答案：A 	解释说明：⻅第15⻚。 
合理确定⾼等学校理事会的构成和规模的影响因素不包括  	['A. ⾼等学校的规模 ', 'B. ⾼等学校职责任务 ', 'C. ⾼等学校服务对象 ', 'D. ⾼等学校科研成果 ']	正确答案：D 	解释说明：请仔细阅读教材第三章 
我国1994年实施的（），1995年实施的（），1999年实施的（）对⾼校教师资格条件、教师资格认定等⽅⾯做出了明确⽽具体的规定  	['A. 《教师资格条例》、《教师法》、《⾼等教育法》 ', 'B. 《教师法》、《教师资格条例》、《教育法》 ', 'C. 《教师资格条例》、《教师法》、《教育法》 ', 'D. 《教师法》、《教师资格条例》、《⾼等教育法》 ']	正确答案：D 	解释说明：⻅第93⻚。 
我国建国以来，由最⾼权⼒机关制定的第⼀部有关教育的法律是（）  	['A. 《中华⼈⺠共和国学位条例》 ', 'B. 《中华⼈⺠共和国义务教育法》 ', 'C. 《中华⼈⺠共和国教育法》 ', 'D. 《中华⼈⺠共和国教师法》 ']	正确答案：A 	解释说明： 
下列不属于⾼等教育⾏政管理⾏为的内容的是（）  	['A. 赋予权益或科以义务 ', 'B. 剥夺权益或免除义务 ', 'C. 变更法律地位 ', 'D. 变更法律事实 ']	正确答案：D 	解释说明：⻅第67⻚。 
师⽣之间的关系是丰富多彩的，从⾼校师⽣关系的不同层⾯来看师⽣关系中最基本的表现形式，也是⾼等教育中师⽣关系的核⼼的是师⽣间的  	['A. 社会关系 ', 'B. 教育关系 ', 'C. ⼼理关系 ', 'D. 伦理关系 ']	正确答案：B 	解释说明：请仔细阅读教材第四章 
下列关于依法治教取得的成就说法错误的是  	['A. 在教育⽴法⽅⾯取得成就 ', 'B. 在完善教育体制机制⽅⾯取得成就 ', 'C. 在教育依法⾏政⽅⾯取得成就 ', 'D. 在教育法律监督⽅⾯取得成就 ']	正确答案：B 	解释说明：⻅第10⻚。 
⾼校教师对学⽣的培养不是⼀朝⼀夕就能完成的，需要进⾏⻓期的教育。⾼校教师的劳动是⼀个教育⼈、培养⼈的过程，这体现了⾼校教师的职业具有  	['A. 复杂性 ', 'B. 创造性 ', 'C. 示范性 ', 'D. 周期性与迟效性 ']	正确答案：D 	解释说明：请仔细阅读教材第四章 
任命或提名⾼等学校⾏政负责⼈，并按照⼈事管理权限报有关部⻔备案获批准的机构是  	['A. ⾼等学校理事会 ', 'B. ⾼等学校管理层 ', 'C. ⾼等学校校⻓办公室 ', 'D. 教职⼯⼤会 ']	正确答案：A 	解释说明：请仔细阅读教材第三章 
20世纪初，美国威斯康星⼤学校⻓查尔斯·范海斯对该校进⾏了创新性改⾰，提出了威斯康星理念，该理念的核⼼内容是  	['A. ⼤学要崇尚学术⾃由、兼容并包 ', 'B. ⼤学要坚持科学研究，并转化为⽣产⼒ ', 'C. ⼤学要培养学⽣的实践创新能⼒ ', 'D. ⼤学不仅要进⾏教学与科研，还要为社区和社会服务 ']	正确答案：D 	解释说明：请仔细阅读教材第⼆章 
学⽣家⻓与学⽣家庭的图书报刊、电脑、学习⼯具等是属于下列哪个课程资源  	['A. 显性课程资源 ', 'B. 校内课程资源 ', 'C. ⽹络化课程资源 ', 'D. 校外课程资源 ']	正确答案：D 	解释说明：请仔细阅读教材第五章 
⾼等学校科学研究的⽬的，是为了发展⽣产⼒，改善⼈⺠的物质⽣活和精神⽣活，使⼈⺠有尊严地、体⾯地⽣活，这体现了下列哪⼀项⾼等学校科学研究的原则  	['A. 科学研究与教学相结合的原则 ', 'B. 基础研究与应⽤研究相结合的原则 ', 'C. ⾯向世界学术前沿与⾯向国家需求相结合的原则 ', 'D. 学术⾃由与学术责任相结合的原则 ']	正确答案：C 	解释说明：请仔细阅读教材第⼋章 
我国⾼等教育法中针对⾼等学校教师和学⽣的权利，规定的较为  	['A. 粗放和笼统 ', 'B. 严谨和细致 ', 'C. 笼统和⼴泛 ', 'D. 细致和狭窄 ']	正确答案：A 	解释说明：⻅第29⻚。 
⼤学校内的各种设施和场所，如图书馆、实验室、体育馆等属于课程资源类型是  	['A. 显性课程资源 ', 'B. 校内课程资源 ', 'C. ⽹络化课程资源 ', 'D. 校外课程资源 ']	正确答案：B 	解释说明：请仔细阅读教材第五章 
下列不是我国⾼等教育拨款模式的弊端的是（ ）  	['A. 中央和地⽅拨款责任不明晰 ', 'B. 不同层次⾼校拨款待遇存在落差 ', 'C. 拨款主体和管理主体不统⼀ ', 'D. 拨款效率低下 ']	正确答案：D 	解释说明：⻅第28⻚。 
我国⽬前⾼校教学的基本组织形式是  	['A. ⼩组教学 ', 'B. 班级授课 ', 'C. 现场教学 ', 'D. 个别教学 ']	正确答案：B 	解释说明：请仔细阅读教材第六章 
新中国成⽴后，我国⾼等教育拨款模式先后⼤致经历了（）、（）、（）三个阶段  	['A. “基数+发展”、“基本⽀出预算+项⽬⽀出预算”、“综合定额+专项补助” ', 'B. “基本⽀出预算+项⽬⽀出预算”、“基数+发展”、“综合定额+专项补助” ', 'C. “基数+发展”、“综合定额+专项补助”、“基本⽀出预算+项⽬⽀出预算” ']	正确答案：C 	解释说明：⻅第28⻚。 
⽇本1947年颁布（）、（），1956年制定（）  	['A. 《教育基本法》《⼤学课程标准》《新⻓期经济计划》 ', 'B. 《教育基本法》《学校教育法》《⼤学课程标准》 ', 'C. 《教育基本法》《新⻓期经济计划》《⼤学课程标准》 ']	正确答案：B 	解释说明：⻅第20⻚。 
指向⾼等学校内外利益相关者之间各种权利的分配、制约和利益实现的制度规定、制度安排和机制设计的是  	['A. ⾼等学校的学位制度 ', 'B. ⾼等学校治理结构 ', 'C. ⾼等学校章程 ', 'D. ⾼等学校管理法 ']	正确答案：B 	解释说明：请仔细阅读教材第三章 
⾼等学校在科学研究过程中，必须处理好学术⾃由与学术责任的关系。追求真知、修正错误、坚持真理、反对愚昧，是⾼等学校的学术责任。这体现的是  	['A. 学术⾃由与学术责任相结合 ', 'B. ⾯向世界学术前沿与⾯向国家需求相结合 ', 'C. 基础研究与应⽤研究相结合 ', 'D. 科学研究与教学相结合 ']	正确答案：A 	解释说明：请仔细阅读教材第⼋章 
⾼等教育仲裁制度的裁决程序中，裁决书⾃（）之⽇起发⽣法律效⼒。  	['A. 做出 ', 'B. 发出 ', 'C. 到达 ']	正确答案：A 	解释说明：⾼等教育仲裁制度的裁决程序中，裁决书⾃做出之⽇其发⽣法律效⼒。 
⾼等学校的科学研究，⼀般以教师个体的研究为主，当遇到交叉、边缘、综合性研究问题时，则需要集体攻关，发挥集体智慧，以研究团队形式展开研究。这体现的是  	['A. 个体研究与集体研究相结合 ', 'B. 学术⾃由与学术责任相结合 ', 'C. ⾯向世界学术前沿与⾯向国家需求相结合 ', 'D. 科学研究与教学相结合 ']	正确答案：A 	解释说明：请仔细阅读教材第⼀章 
学校、教师教育教学的中⼼是：  	['A. 政府 ', 'B. 学⽣ ', 'C. 教学场所 ']	正确答案：B 	解释说明：学校、教师教育的中⼼是学⽣。（⻅书P100） 
⾼等教育研究专著和专⻔机构的产⽣，以及⾼等教育学专业的开设，标志着⾼等教育学进⼊的阶段是  	['A. 萌芽阶段 ', 'B. 专⻔化阶段 ', 'C. 系统化阶段 ', 'D. 多样化阶段 ']	正确答案：B 	解释说明：请仔细阅读教材第⼀章 
备课是⾼校教师教学⼯作的基本环节之⼀，以下哪⼀项不属于备课环节⼯作  	['A. 备教材 ', 'B. 备学⽣ ', 'C. 备⼼情 ', 'D. 备教法 ']	正确答案：C 	解释说明：请仔细阅读教材第六章 
隐性课程在⾼等学校教育过程中起着潜移默化的作⽤。下列属于⾼等学校隐性课程的是  	['A. 教材和实验指导书 ', 'B. 社会实践活动 ', 'C. 学校的⽂化精神 ', 'D. 学校图书馆中的书籍 ']	正确答案：C 	解释说明：请仔细阅读教材第五章 
⾼等教育⾏政管理体制分为（）类  	['A. 1 ', 'B. 2 ', 'C. 3 ', 'D. 4 ']	正确答案：B 	解释说明：⻅第55-56⻚⼩标题。 
⾼校在校学⽣代他⼈参加全国性统⼀考试的，由其所在学校（）  	['A. 给予⾏政处分 ', 'B. 勒令退学 ', 'C. 开除学籍 ', 'D. 勒令退学或开除学籍 ']	正确答案：D 	解释说明：请⻅书P123或《⾼等学校招⽣全国统⼀考试管理处罚暂⾏规定》。 
在中世纪⼤学时期，社会对⾼等学校的需求是  	['A. 培养⾼素质⼈才 ', 'B. 培养劳动⼒ ', 'C. 培养管理⼈才 ', 'D. 培养⾼层次统治⼈才 ']	正确答案：D 	解释说明：请仔细阅读教材第五章 
⽬前，世界各国⾼等教育正在向多元化发展，下列不属于⾼等教育多元化发展内容的是  	['A. 办学主体多样化 ', 'B. 办学经费来源多样化 ', 'C. ⾼等教育层次结构多样化 ', 'D. 学⽣来源多样化 ']	正确答案：D 	解释说明：请仔细阅读教材第⼆章 
学习权的核⼼价值在于：  	['A. 制度化 ', 'B. 规范化 ', 'C. ⼈性化 ']	正确答案：C 	解释说明：学习权的核⼼价值在于⼈性化。（⻅书P107） 
我国近现代⼤学制度是舶来品，只有（ ）年历史。  	['A. ⼀百多年 ', 'B. ⼆百多年 ', 'C. 三百多年 ', 'D. 四百多年 ']	正确答案：A 	解释说明： 
⾼校教师除了担负着培养社会⾼级专⻔⼈才的任务，还承担着创新科技和⽂化的重任，这就要求⾼校教师应具备⼀定的  	['A. 教学监控能⼒ ', 'B. 教育科学研究的能⼒ ', 'C. 教育指导能⼒ ', 'D. 教育机智 ']	正确答案：B 	解释说明：请仔细阅读教材第四章 
以下哪⼀项教学原则要求⾼校教师在教学中不能否认理论知识的重要性，要坚持以学习基础知识、基本理论为主，根据课程学习的要求和学⽣学习的需要联系实际  	['A. 理论联系实际的原则 ', 'B. 知识传授与能⼒发展相结合的原则 ', 'C. 启发性原则 ', 'D. 因材施教原则 ']	正确答案：A 	解释说明：请仔细阅读教材第六章 
现代⾼等学校制度⽤以规范⾼等学校内外关系的规则和运作机制，作为其指导的是  	['A. 现代⾼等教育理念 ', 'B. 现代⾼等教育⽬标 ', 'C. 现代⾼等学校领导 ', 'D. 现代⾼等学校发展 ']	正确答案：A 	解释说明：请仔细阅读教材第三章 
美国为了应对⾼等教育发展中出现的危机，1979年通过什么法  	['A. 《⾼等教育法》 ', 'B. 《教育部改组法》 ', 'C. 《学⽣贷款改⾰法》 ', 'D. 《教育⾏业发展法》 ']	正确答案：B 	解释说明：⻅第18⻚尾段。 
实现依法治教的前提和基础是什么  	['A. 教育⽴法 ', 'B. ⾏政管理 ', 'C. 公平正义 ', 'D. 党的领导 ']	正确答案：A 	解释说明：⻅第10⻚。 
英国教育尤其是⾼等教育呈现出典型的什么特征  	['A. ⾃主特征 ', 'B. ⾃理特征 ', 'C. ⾃治特征 ']	正确答案：C 	解释说明：⻅第19⻚第⼀段。 
关于⾼等学校章程描述有误的是  	['A. ⾼等学校章程是⼤学的最⾼⾏为规范 ', 'B. ⾼等学校章程是⾼等学校依法治校的重要依据 ', 'C. ⾼等学校章程是现代⾼等学校制度的载体和基础 ', 'D. ⾼等学校章程是⾼等教育质量的客观标准和考核基础 ']	正确答案：D 	解释说明：请仔细阅读教材第三章 
学⽣申诉处理委员对申诉案件的审理主要表现为：  	['A. 审查 ', 'B. 核查 ', 'C. 复查 ']	正确答案：C 	解释说明：⻅书P140。 
相对于博⼠研究⽣的教育，硕⼠研究⽣更注重  	['A. 掌握基础理论，系统深⼊的专业知识 ', 'B. 实务操作技能的培养 ', 'C. 科学研究⼯作和实际⼯作能⼒ ']	正确答案：B 	解释说明：⻅第36⻚。 
我国⾼等学校对⽼师实施（）。  	['A. 任聘制 ', 'B. 聘⽤制 ', 'C. 合同⼯制 ', 'D. 终身制 ']	正确答案：A 	解释说明：⾼等学校实施教师任聘制。 
以下不属于⾼校课堂秩序有效组织与管理的是  	['A. 教师应建⽴课堂教学基本规范，向学⽣明确提出应该遵守的纪律 ', 'B. 教师应尽可能排除外界物质环境对课堂秩序可能造成的⼲扰 ', 'C. 教师应明确教学⽬标，找准教学内容重难点，注意讲解内容的衔接 ', 'D. 教师应尽可能排除各种⼼理因素对学⽣造成的⼲扰 ']	正确答案：C 	解释说明：请仔细阅读教材第七章
